UKPRN	PROVIDER_NAME	ALIAS	FLAT_NAME_NUMBER	BUILDING_NAME_NUMBER	LOCALITY	STREET_NAME	TOWN	POSTCODE	WEBSITE_URL	PRIMARY_CONTACT_POSTCODE	WIKIPEDIA_URL	GROUPS	LONGITUDE	LATITUDE	EASTING	NORTHING	GTR_ID
10003645	KING'S COLLEGE LONDON					STRAND	LONDON	WC2R 2LS	http://www.kcl.ac.uk/	WC2R 2LS	http://en.wikipedia.org/wiki/King%27s_College_London	Russell_Group	-0.116912	51.510734	530773	180770	318B5D98-4CB4-4B10-A876-08FC93071A56
10007782	ST GEORGE'S HOSPITAL MEDICAL SCHOOL	St. George's University of London				Cranmer Terrace	London	SW17 0RE	http://www.sgul.ac.uk/	SW17 0RE	http://en.wikipedia.org/wiki/St_George%27s,_University_of_London		-0.173355	51.427985	527086	171469	F325BF32-08AE-4621-8057-E5D6613B7308
10004775	NORWICH UNIVERSITY COLLEGE OF THE ARTS			3-7		Redwell Street	Norwich	NR2 4SN	http://www.nuca.ac.uk/	NR2 4SN	http://en.wikipedia.org/wiki/Norwich_University_College_of_the_Arts		1.296600	52.630313	623191	308717	4E4178A7-8BDF-4990-8D4A-67DB8A9695F3
10003854	LEEDS COLLEGE OF ART					Blenheim Walk	Leeds	LS2 9AQ	http://www.leeds-art.ac.uk/	LS2 9AQ	http://en.wikipedia.org/wiki/Leeds_College_of_Art		-1.551780	53.808463	429614	434777	
10007759	ASTON UNIVERSITY					The Aston Triangle	Birmingham	B4 7ET	http://www.aston.ac.uk/	B4 7ET	http://en.wikipedia.org/wiki/Aston_University	NCUK	-1.890947	52.486651	407502	287641	5BFB9036-9D16-4AB9-A9EF-097BB6FBD69A
10007848	UNIVERSITY OF CHESTER					Parkgate Road	Chester	CH1 4BJ	http://www.chester.ac.uk/	CH1 4BJ	http://en.wikipedia.org/wiki/University_of_Chester		-2.898063	53.198657	340104	367217	A7AF2001-3B9F-4618-AEDF-C2DDEE927102
10007783	UNIVERSITY OF ABERDEEN					Regent Walk	Aberdeen	AB24 3FX	http://www.abdn.ac.uk/	AB24 3FX	http://en.wikipedia.org/wiki/University_of_Aberdeen		-2.099129	57.165003	394104	808245	F7E13617-2678-475B-99E4-31479C92038D
10007798	THE UNIVERSITY OF MANCHESTER					Oxford Road	Manchester	M13 9PL	http://www.manchester.ac.uk/	M13 9PL	http://en.wikipedia.org/wiki/University_of_Manchester	N8_Research_Partnership, Russell_Group	-2.233222	53.467943	384615	396824	E5AFE7E4-FF5D-4FF1-B50B-E04A6DF7D791
10005561	ROYAL CONSERVATOIRE OF SCOTLAND			100		RENFREW STREET	GLASGOW	G2 3DB	http://www.rcs.ac.uk/	G2 3DB	http://en.wikipedia.org/wiki/Royal_Conservatoire_of_Scotland		-4.257632	55.866140	258817	665968	
10007154	UNIVERSITY OF NOTTINGHAM					University Park	Nottingham	NG7 2RD	http://www.nottingham.ac.uk/	NG7 2RD	http://en.wikipedia.org/wiki/University_of_Nottingham	Russell_Group	-1.186477	52.941271	454768	338516	936D002F-A8D1-4A93-AE5D-825ED0903D8D
10008010	STRANMILLIS UNIVERSITY COLLEGE					Stranmillis Road	Belfast	BT9 5DY	http://www.stran.ac.uk/	BT9 5DY	http://en.wikipedia.org/wiki/Stranmillis_University_College						
10007799	UNIVERSITY OF NEWCASTLE UPON TYNE	Newcastle University				Claremont Road	Newcastle Upon Tyne	NE1 7RU	http://www.ncl.ac.uk/	NE1 7RU	http://en.wikipedia.org/wiki/Newcastle_University	N8_Research_Partnership, Russell_Group	-1.615727	54.980327	424693	565147	5E2B04DD-4A03-45ED-9892-61C5CCB8AC68
10007857	BANGOR UNIVERSITY					College Road	Bangor	LL57 2DG	http://www.bangor.ac.uk/	LL57 2DG	http://en.wikipedia.org/wiki/Bangor_University		-4.129505	53.229236	257949	372359	F9F1D136-12E3-4BE4-9668-0C9BC4A7C1BF
10007787	THE UNIVERSITY OF BUCKINGHAM			Yeomanry House		Hunter Street	Buckingham	MK18 1EG	http://www.buckingham.ac.uk/	MK18 1EG	http://en.wikipedia.org/wiki/University_of_Buckingham		-0.991820	51.996018	469315	233542	53944FC7-FD00-407E-A4F1-F22812C85420
10007149	UNIVERSITY OF HULL					Cottingham Road	Hull	HU6 7RX	http://www.hull.ac.uk/	HU6 7RX	http://en.wikipedia.org/wiki/University_of_Hull		-0.367171	53.769661	507718	431603	8A0FC07A-04CD-4F7A-9095-1D2E6C1D918F
10007793	UNIVERSITY OF GLAMORGAN / PRIFYSGOL MORGANNWG				Treforest		Pontypridd	CF37 1DL	http://www.glam.ac.uk/	CF37 1DL	http://en.wikipedia.org/wiki/University_of_Glamorgan	University_Alliance	-3.325787	51.588739	308249	188598	7B3A72B2-7C68-4D1C-A7ED-102C7805B561
10007835	ROYAL ACADEMY OF MUSIC					Marylebone Road	London	NW1 5HT	http://www.ram.ac.uk/	NW1 5HT	http://en.wikipedia.org/wiki/Royal_Academy_of_Music		-0.151727	51.523617	528321	182141	A3F70448-95D2-4ECC-8535-97876FA5F5A4
10004048	LONDON METROPOLITAN UNIVERSITY			166-220		HOLLOWAY ROAD	LONDON	N7 8DB	http://www.londonmet.ac.uk/	N7 8DB	http://en.wikipedia.org/wiki/London_Metropolitan_University	Million_Plus	-0.110210	51.551822	531120	185351	3A1483A5-3CFF-403D-8AB5-FAE5B8EB86B4
10001143	CANTERBURY CHRIST CHURCH UNIVERSITY					ST. GEORGES PLACE	CANTERBURY	CT1 1UT	http://www.canterbury.ac.uk/	CT1 1QU	http://en.wikipedia.org/wiki/Canterbury_Christ_Church_University	Million_Plus	1.085663	51.275761	615312	157479	9DCA54FA-7193-4B70-9A85-369C1FD85B5D
10007843	ST MARY'S UNIVERSITY COLLEGE, TWICKENHAM					Waldegrave Road	Twickenham	TW1 4SX	http://www.smuc.ac.uk/	TW1 4SX	http://en.wikipedia.org/wiki/St._Mary%27s_University_College_%28Twickenham%29		-0.335292	51.437438	515805	172252	F8A38BAB-5A5C-44BA-BC24-8114AD09C832
10001653	THE CONSERVATOIRE FOR DANCE AND DRAMA			TAVISTOCK HOUSE		TAVISTOCK SQUARE	LONDON	WC1H 9JJ	http://www.cdd.ac.uk/	WC1H 9JJ	http://en.wikipedia.org/wiki/Conservatoire_for_Dance_and_Drama		-0.129090	51.526207	529884	182469	
10007760	BIRKBECK COLLEGE	Birkbeck, University Of London				Malet Street	London	WC1E 7HX	http://www.bbk.ac.uk/	WC1E 7HX	http://en.wikipedia.org/wiki/Birkbeck,_University_of_London	1994_Group	-0.127819	51.520998	529987	181892	3E18DACB-05AA-4C71-88FB-C909A8311BB5
10006842	UNIVERSITY OF LIVERPOOL		PO Box 147				LIVERPOOL	L69 3BX	http://www.liv.ac.uk/	L69 7ZX	http://en.wikipedia.org/wiki/University_of_Liverpool	N8_Research_Partnership, Russell_Group	-2.975554	53.406416	335243	390397	A0A585E0-6B0D-4643-A3A6-47943B4CBFEF
10003324	INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE)			123		Old Brompton Road	London	SW7 3RP	http://www.icr.ac.uk/	SW3 6JB	http://en.wikipedia.org/wiki/Institute_of_Cancer_Research		-0.181668	51.490713	526335	178430	744CEC19-DBB5-412F-8B63-3BAD72B719C7
10007146	UNIVERSITY OF GREENWICH			30		Park Row	London	SE10 9LS	http://www.greenwich.ac.uk/	SE10 9LS	http://en.wikipedia.org/wiki/University_of_Greenwich	Million_Plus	-0.003891	51.484493	538695	178060	2F667752-ABE0-4914-9C97-82F42CC11C60
10007713	YORK ST JOHN UNIVERSITY					Lord Mayors Walk	York	YO31 7EX	http://www.yorksj.ac.uk/	YO31 7EX	http://en.wikipedia.org/wiki/York_St_John_University		-1.080290	53.965263	460436	452521	E3A7C679-6D40-45AA-A211-20EB6C28AC37
10007858	UNIVERSITY OF WALES: TRINITY SAINT DAVID					COLLEGE ROAD	CARMARTHEN	SA31 3EP	http://www.trinitysaintdavid.ac.uk/	SA31 3EP	http://en.wikipedia.org/wiki/University_of_Wales,_Trinity_Saint_David		-4.328723	51.858379	239732	220318	
10007825	GUILDHALL SCHOOL OF MUSIC AND DRAMA					SILK STREET BARBICAN	LONDON	EC2Y 8DT	http://www.gsmd.ac.uk/	EC2Y 8DT	http://en.wikipedia.org/wiki/Guildhall_School_of_Music_and_Drama		-0.092406	51.519502	532448	181789	C43F49D5-9E05-4A01-AE8A-7C68B8AC37BF
10007846	SWANSEA METROPOLITAN UNIVERSITY			Mount Pleasant Campus		Mount Pleasant	Swansea	SA1 6ED	http://www.smu.ac.uk/	SA1 6ED	http://en.wikipedia.org/wiki/Swansea_Metropolitan_University		-3.949446	51.624658	265153	193560	CCF88354-9859-4D4C-802D-B954DBE36678
10007785	UNIVERSITY OF BRADFORD					Richmond Road	Bradford	BD7 1DP	http://www.bradford.ac.uk/	BD7 1DP	http://en.wikipedia.org/wiki/University_of_Bradford	University_Alliance	-1.762133	53.791716	415768	432847	0838B2E1-D5E2-4ACD-AA27-D2B1BFDC124F
10004078	LONDON SOUTH BANK UNIVERSITY			103		Borough Road	London	SE1 0AA	http://www.lsbu.ac.uk/	SE1 0AA	http://en.wikipedia.org/wiki/London_South_Bank_University		-0.101630	51.498410	531869	179427	FBA10D69-BE5C-42A8-9DCF-4214809173FB
10014001	UNIVERSITY CAMPUS SUFFOLK LTD	University Campus Suffolk		WATERFRONT BUILDING 19-21		NEPTUNE QUAY	IPSWICH	IP4 1QJ	http://www.ucs.ac.uk/	IP4 1QJ	http://en.wikipedia.org/wiki/University_Campus_Suffolk		1.162554	52.052585	616931	244074	
10007800	UNIVERSITY OF THE WEST OF SCOTLAND					High Street	Paisley	PA1 2BE	http://www.uws.ac.uk/	PA1 2BE	http://en.wikipedia.org/wiki/University_of_the_West_of_Scotland	Million_Plus	-4.428479	55.843669	248040	663830	6786BBB0-D64D-4D47-B725-7AD417D4ED4F
10003957	LIVERPOOL JOHN MOORES UNIVERSITY			Rodney House 70		Mount Pleasant	Liverpool	L3 5UX	http://www.ljmu.ac.uk/	L3 5UX	http://en.wikipedia.org/wiki/Liverpool_John_Moores_University	University_Alliance	-2.973176	53.403702	335397	390093	772A1E12-7175-46C0-B665-CE27930D15A8
10000385	THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH			7		Fern Barrow	Poole	BH12 5HH	http://www.aucb.ac.uk/	BH12 5HH	http://en.wikipedia.org/wiki/The_Arts_University_College_at_Bournemouth		-1.897700	50.741781	407314	93581	8F29E319-A83B-4497-A8AB-595E596CF61C
10007850	UNIVERSITY OF BATH (THE)	University Of Bath			Claverton Down	The Avenue	Bath	BA2 7AY	http://www.bath.ac.uk/	BA2 7AY	http://en.wikipedia.org/wiki/University_of_Bath		-2.330671	51.380438	377083	164651	EAAD4D43-BD15-432B-9385-2DBD0C65958D
10006566	THE UNIVERSITY OF WEST LONDON					St. Marys Road	London	W5 5RF	http://www.uwl.ac.uk/	W5 5RF	http://en.wikipedia.org/wiki/University_of_West_London	Million_Plus	-0.303390	51.506610	517844	179995	7B7DD8F3-EC06-4C09-8E26-051B2D57EF46
10004930	OXFORD BROOKES UNIVERSITY				Headington	Gipsy Lane	Oxford	OX3 0BP	http://www.brookes.ac.uk/	OX3 0BP	http://en.wikipedia.org/wiki/Oxford_Brookes_University	University_Alliance	-1.223181	51.754386	453717	206473	CEB496D0-8DC8-4905-8F65-D1ACDAD75C9B
10007780	SCHOOL OF ORIENTAL AND AFRICAN STUDIES			10		Thornhaugh Street	London	WC1H 0XG	http://www.soas.ac.uk/	WC1H 0XG	http://en.wikipedia.org/wiki/School_of_Oriental_and_African_Studies	1994_Group	-0.129233	51.522352	529885	182040	B1B0C694-8B41-4FDC-A4F0-8B18407D793B
10003270	IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE	Imperial College London					London	SW7 2AZ	http://www.imperial.ac.uk/	SW7 2AZ	http://en.wikipedia.org/wiki/Imperial_College_London	Russell_Group	-0.178194	51.500506	526549	179525	46387D84-F71E-4B7D-8C7D-9C288F113510
10007837	ROYAL NORTHERN COLLEGE OF MUSIC			124		Oxford Road	Manchester	M13 9RD	http://www.rncm.ac.uk/	M13 9RD	http://en.wikipedia.org/wiki/Royal_Northern_College_of_Music		-2.236946	53.468583	384368	396896	111974F8-A619-4611-8D9D-0FF01DE98D8A
